text,label,label_text,pred_logistic_regression,pred_linear_svm,pred_naive_bayes,is_correct,text_len_chars,text_len_words,pred_label_text
i want a card. what is the procedure?,43,order_physical_card,52,52,0,False,37,8,request_refund
how long after i receive my statement can i dispute payments on it?,28,direct_debit_payment_not_recognised,34,12,51,False,67,13,card_delivery_estimate
why was my transaction not approved?,35,failed_transfer,66,66,26,False,36,6,transfer_not_received_by_recipient
are there atm fees?,19,cash_withdrawal_charge,3,3,57,False,19,4,atm_support
what are the reasons that my mortgage payment won't go through? i'm getting an error and don't know how to correct to get this transfer to go through.,35,failed_transfer,7,7,7,False,150,28,beneficiary_not_allowed
i didn't get the money i transferred,5,balance_not_updated_after_bank_transfer,66,66,75,False,36,7,transfer_not_received_by_recipient
why am i being declined?,25,declined_card_payment,27,27,19,False,24,5,declined_transfer
which currencies do you work with?,54,supported_cards_and_currencies,36,36,36,False,34,6,fiat_currency_support
what is this fee for transfering,64,transfer_fee_charged,15,15,15,False,32,6,card_payment_fee_charged
how come my money hasn't shown up yet?,66,transfer_not_received_by_recipient,5,5,5,False,38,8,balance_not_updated_after_bank_transfer
i transferred some money a couple days ago but haven't received it yet. how long should i expect to wait?,5,balance_not_updated_after_bank_transfer,66,66,66,False,105,20,transfer_not_received_by_recipient
"i saw money was taken out of my account by a seller a while back. i do not recognize the seller, but i'm pretty certain i didn't make that payment. can you track who the seller is?",28,direct_debit_payment_not_recognised,16,53,28,False,180,37,reverted_card_payment?
i can not see my top up,62,topping_up_by_card,47,47,47,False,23,7,pending_top_up
i sent a check into the system but still haven't received the cash yet,6,balance_not_updated_after_cheque_or_cash_deposit,6,11,6,False,70,14,card_arrival
my card was charged more than expected.,15,card_payment_fee_charged,63,17,63,False,39,7,card_payment_wrong_exchange_rate
i didn't see the money i added to my card.,59,top_up_failed,62,62,62,False,42,10,topping_up_by_card
if i don't want a physical card can i get a virtual version?,40,getting_virtual_card,43,43,43,False,60,13,order_physical_card
has my top up gone through?,47,pending_top_up,47,61,47,False,27,6,top_up_reverted
"is it possible to go ahead and log in, although i have not been confirmed yet?",74,why_verify_identity,66,48,66,False,78,16,pending_transfer
i think there has been a mistake with my transfer,27,declined_transfer,35,16,53,False,49,10,card_payment_not_recognised
how can i get multiple disposble cards.,29,disposable_card_limits,39,39,39,False,39,7,getting_spare_card
why is a transfer i did recently still processing?,48,pending_transfer,48,5,48,False,50,9,balance_not_updated_after_bank_transfer
i made an atm withdrawal over the holiday and then later realized i was charged an exorbitant fee! i never would've made this withdrawal if i'd known i'd be charged so much.,76,wrong_exchange_rate_for_cash_withdrawal,19,19,19,False,173,32,cash_withdrawal_charge
can this convert money?,33,exchange_via_app,33,50,33,False,23,4,receiving_money
i cant transfer money into my account,7,beneficiary_not_allowed,65,65,65,False,37,7,transfer_into_account
my rate of exchange was wrong.,17,card_payment_wrong_exchange_rate,76,76,76,False,30,6,wrong_exchange_rate_for_cash_withdrawal
someone stole my money,28,direct_debit_payment_not_recognised,41,41,42,False,22,4,lost_or_stolen_card
what are the steps for making a transfer for topping up?,65,transfer_into_account,56,56,57,False,56,11,top_up_by_bank_transfer_charge
tell me how to renew my new card?,0,activate_my_card,11,11,0,False,33,8,card_arrival
i am having a huge problem with my card being declined and it's really important that i top-up today. would you please look into this further and let me know how i can get this fixed?,59,top_up_failed,59,25,59,False,183,36,declined_card_payment
i need to verify my identity,69,verify_my_identity,74,74,69,False,28,6,why_verify_identity
does it cost me to add cash?,56,top_up_by_bank_transfer_charge,57,19,57,False,28,7,cash_withdrawal_charge
what are my payment options for topping off my account?,58,top_up_by_cash_or_cheque,53,54,57,False,55,10,supported_cards_and_currencies
where is my card?,11,card_arrival,10,10,38,False,17,4,card_acceptance
my statement indicates i made a payment to an unfamiliar merchant.,16,card_payment_not_recognised,16,53,16,False,66,11,reverted_card_payment?
i think my wallet fell out on the tube today! i realized as soon as i got to my desk. how do i cut off the card?,41,lost_or_stolen_card,62,62,20,False,112,27,topping_up_by_card
"i've tried many times to make a payment, but it's not going through. what's wrong?",25,declined_card_payment,35,35,35,False,82,15,failed_transfer
what countries can i travel to and have access to their currencies?,36,fiat_currency_support,24,24,24,False,67,12,country_support
"i need to deposit my virtual card, how do i do that.",37,get_disposable_virtual_card,40,40,40,False,52,12,getting_virtual_card
is there a specific source that the exchange rate for the transfer i'm planning on making is pulled from?,32,exchange_rate,76,76,76,False,105,19,wrong_exchange_rate_for_cash_withdrawal
what are the uses for disposable cards?,37,get_disposable_virtual_card,29,29,29,False,39,7,disposable_card_limits
my card was stolen and used to make several purchases. please freeze my card so no one can use it.,22,compromised_card,41,41,41,False,98,20,lost_or_stolen_card
why is my identity not verified?,68,unable_to_verify_identity,74,74,74,False,32,6,why_verify_identity
why am i still waiting for a transfer?,5,balance_not_updated_after_bank_transfer,48,48,48,False,38,8,pending_transfer
"i tried to use my debit card, but the payment did not work.",53,reverted_card_payment?,25,25,25,False,59,13,declined_card_payment
"hae there, i have a transaction that is in progress despite the fact that the atm was not working, what do i do to avoid being charged?",46,pending_cash_withdrawal,63,63,63,False,135,27,transaction_charged_twice
there is a pending payment on my account that is very strange. i don't remember making this and it won't go away. can you help me figure this out?,34,extra_charge_on_statement,16,16,16,False,146,29,card_payment_not_recognised
does it matter which card i use,73,visa_or_mastercard,10,10,45,False,31,7,card_acceptance
